id,title,type,genres,providers,vote_count,vote_average,weighted_score
585,몬스터 주식회사,movie,"애니메이션,코미디,가족",Disney Plus,19246,7.847,7.651196090012623
557642,라라의 신비한 모험,movie,"애니메이션,가족",Watcha,14,7.1,6.407647780430443
587,빅 피쉬,movie,"모험,판타지,드라마",Watcha,7525,7.752,7.365833293835099
588,사일런트 힐,movie,"공포,미스터리",기타,4605,6.603,6.5243167247961456
591,다빈치 코드,movie,"스릴러,미스터리","Watcha, wavve",9778,6.728,6.651598147747378
592,컨버세이션,movie,"범죄,드라마,미스터리",기타,1933,7.509,6.83528942006116
361042,할로우 : 끝나지 않은 공포,movie,"공포,TV 영화",기타,91,4.753,6.356174926148215
1049171,운명적 유혹,movie,드라마,TVING,30,5.217,6.39277116230593
595,앵무새 죽이기,movie,드라마,Watcha,2754,7.995,7.1627416213785065
597,타이타닉,movie,"드라마,로맨스",Disney Plus,26488,7.904,7.750408844620411
598,시티 오브 갓,movie,"드라마,범죄",기타,7879,8.4,7.84670720353481
601,이티,movie,"SF,모험,가족,판타지","Amazon Prime Video, Netflix, Watcha",11650,7.511,7.2830454895557075
602,인디펜던스 데이,movie,"액션,모험,SF",Disney Plus,10058,6.9,6.785488681716059
603,매트릭스,movie,"액션,SF",Watcha,27019,8.235,8.050820470615916
604,매트릭스 2: 리로디드,movie,"모험,액션,스릴러,SF",기타,11548,7.066,6.928762799751216
605,매트릭스 3: 레볼루션,movie,"모험,액션,스릴러,SF",기타,10431,6.747,6.670037777996601
607,맨 인 블랙,movie,"액션,모험,코미디,SF",Watcha,14401,7.214,7.073559841252962
608,맨 인 블랙 2,movie,"액션,코미디,SF",Watcha,10339,6.381,6.386302707015259
616,라스트 사무라이,movie,"드라마,액션,전쟁",기타,7259,7.6,7.248527782646192
617,와일드 씽,movie,"미스터리,스릴러,드라마",wavve,1868,6.361,6.387848372399109
620,고스트버스터즈,movie,"코미디,판타지",Watcha,9430,7.5,7.234076678770304
621,그리스,movie,"로맨스,코미디",기타,7506,7.373,7.094941516446164
624,이지 라이더,movie,"모험,드라마",기타,2082,7.059,6.671414263616166
629,유주얼 서스펙트,movie,"드라마,범죄,스릴러",기타,10972,8.172,7.790236752036863
